ISSN	REVISTA	QUALIS	AREA	OBS
1083-3668	Journal of Biomedical Optics	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0021-9797	Journal of Colloid and Interface Science (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1572-6657	Journal of Electroanalytical Chemistry (1992)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-1120	Journal of Fluid Mechanics (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0148-0227	Journal of Geophysical Research	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0304-3894	Journal of Hazardous Materials (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0162-0134	Journal of Inorganic Biochemistry	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0733-8724	Journal of Lightwave Technology (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1090-7807	Journal of Magnetic Resonance (San Diego, Calif. 1997: Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1053-1807	Journal of Magnetic Resonance Imaging (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1076-5174	Journal of Mass Spectrometry (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0957-4530	Journal of Materials Science. Materials in Medicine	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-2488	Journal of Mathematical Physics	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0960-1317	Journal of Micromechanics and Microengineering (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1381-1169	Journal of Molecular Catalysis. A, Chemical (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1388-0764	Journal of Nanoparticle Research	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-3549	Journal of Pharmaceutical Sciences	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1010-6030	Journal of Photochemistry and Photobiology. A, Chemistry	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0003-276X	Journal of Physical Chemistry (1952) (Cessou em 1996. Cont. ISSN 1089-5639 The Journal of Physical Chemistry. A e ISSN 1520-6106 Journal of Physical Chemistry. B	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1751-8113	Journal of Physics. A, Mathematical and Theoretical (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0953-4075	Journal of Physics. B, Atomic Molecular and Optical Physics (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0953-8984	Journal of Physics. Condensed Matter (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-3727	Journal of Physics. D, Applied Physics (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0954-3899	Journal of Physics. G, Nuclear and Particle Physics	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0742-3098	Journal of Pineal Research	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0887-624X	Journal of Polymer Science. Part A, Polymer Chemistry	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-4073	Journal of Quantitative Spectroscopy & Radiative Transfer	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0148-6055	Journal of Rheology (New York, N.Y.)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-4596	Journal of Solid State Chemistry (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1432-8488	Journal of Solid State Electrochemistry (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1742-5468	Journal of Statistical Mechanics	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1047-8477	Journal of Structural Biology (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0909-0495	Journal of Synchrotron Radiation	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0002-7820	Journal of the American Ceramic Society	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
